duration: 01, msg_len: 100000, n_ranks: 4, iteration: 3, elapsed: too_large
duration: 01, msg_len: 100000, n_ranks: 4, iteration: 4, elapsed: too_large
duration: 01, msg_len: 100000, n_ranks: 4, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 1, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 1, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 1, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 1, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 1, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 2, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 2, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 2, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 2, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 2, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 3, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 3, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 3, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 3, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 3, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 4, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 4, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 4, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 4, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_ranks: 4, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100, n_ranks: 1, iteration: 1, elapsed: 2.574594
duration: 05, msg_len: 100, n_ranks: 1, iteration: 2, elapsed: 2.542812
duration: 05, msg_len: 100, n_ranks: 1, iteration: 3, elapsed: 2.525315
duration: 05, msg_len: 100, n_ranks: 1, iteration: 4, elapsed: 2.537625
duration: 05, msg_len: 100, n_ranks: 1, iteration: 5, elapsed: 2.543920
duration: 05, msg_len: 100, n_ranks: 2, iteration: 1, elapsed: 1.703886
duration: 05, msg_len: 100, n_ranks: 2, iteration: 2, elapsed: 1.694810
duration: 05, msg_len: 100, n_ranks: 2, iteration: 3, elapsed: 1.655431
duration: 05, msg_len: 100, n_ranks: 2, iteration: 4, elapsed: 1.676618
duration: 05, msg_len: 100, n_ranks: 2, iteration: 5, elapsed: 1.657114
duration: 05, msg_len: 100, n_ranks: 3, iteration: 1, elapsed: 2.425414
duration: 05, msg_len: 100, n_ranks: 3, iteration: 2, elapsed: 2.441285
duration: 05, msg_len: 100, n_ranks: 3, iteration: 3, elapsed: 2.441710
