duration: 20, msg_len: 10000, iteration: 4, elapsed: 4.398916
duration: 20, msg_len: 10000, iteration: 5, elapsed: 4.385221
duration: 20, msg_len: 100000, iteration: 1, elapsed: 4.430863
duration: 20, msg_len: 100000, iteration: 2, elapsed: 4.447019
duration: 20, msg_len: 100000, iteration: 3, elapsed: 4.442374
duration: 20, msg_len: 100000, iteration: 4, elapsed: 4.435403
duration: 20, msg_len: 100000, iteration: 5, elapsed: 4.414261
duration: 20, msg_len: 1000000, iteration: 1, elapsed: too_large
duration: 20, msg_len: 1000000, iteration: 2, elapsed: too_large
duration: 20, msg_len: 1000000, iteration: 3, elapsed: too_large
duration: 20, msg_len: 1000000, iteration: 4, elapsed: too_large
duration: 20, msg_len: 1000000, iteration: 5, elapsed: too_large
duration: 30, msg_len: 100, iteration: 1, elapsed: 8.723112
duration: 30, msg_len: 100, iteration: 2, elapsed: 8.727856
duration: 30, msg_len: 100, iteration: 3, elapsed: 8.828653
duration: 30, msg_len: 100, iteration: 4, elapsed: 8.700193
duration: 30, msg_len: 100, iteration: 5, elapsed: 8.716235
duration: 30, msg_len: 1000, iteration: 1, elapsed: 8.745047
duration: 30, msg_len: 1000, iteration: 2, elapsed: 8.738996
duration: 30, msg_len: 1000, iteration: 3, elapsed: 8.707843
duration: 30, msg_len: 1000, iteration: 4, elapsed: 8.736921
duration: 30, msg_len: 1000, iteration: 5, elapsed: 8.982278
duration: 30, msg_len: 10000, iteration: 1, elapsed: 8.756950
duration: 30, msg_len: 10000, iteration: 2, elapsed: 8.748415
duration: 30, msg_len: 10000, iteration: 3, elapsed: 8.752642
duration: 30, msg_len: 10000, iteration: 4, elapsed: 8.721319
duration: 30, msg_len: 10000, iteration: 5, elapsed: 8.732123
duration: 30, msg_len: 100000, iteration: 1, elapsed: 9.087411
duration: 30, msg_len: 100000, iteration: 2, elapsed: 8.758284
duration: 30, msg_len: 100000, iteration: 3, elapsed: 8.772844
duration: 30, msg_len: 100000, iteration: 4, elapsed: 8.735830
duration: 30, msg_len: 100000, iteration: 5, elapsed: 8.748079
duration: 30, msg_len: 1000000, iteration: 1, elapsed: too_large
duration: 30, msg_len: 1000000, iteration: 2, elapsed: too_large
duration: 30, msg_len: 1000000, iteration: 3, elapsed: too_large
duration: 30, msg_len: 1000000, iteration: 4, elapsed: too_large
duration: 30, msg_len: 1000000, iteration: 5, elapsed: too_large
duration: 40, msg_len: 100, iteration: 1, elapsed: 9.239478
duration: 40, msg_len: 100, iteration: 2, elapsed: 9.231973
duration: 40, msg_len: 100, iteration: 3, elapsed: 9.192182
duration: 40, msg_len: 100, iteration: 4, elapsed: 9.502672
duration: 40, msg_len: 100, iteration: 5, elapsed: 9.162893
duration: 40, msg_len: 1000, iteration: 1, elapsed: 9.182499
duration: 40, msg_len: 1000, iteration: 2, elapsed: 9.142522
duration: 40, msg_len: 1000, iteration: 3, elapsed: 9.144201
duration: 40, msg_len: 1000, iteration: 4, elapsed: 9.112721
duration: 40, msg_len: 1000, iteration: 5, elapsed: 9.108531
duration: 40, msg_len: 10000, iteration: 1, elapsed: 9.123113
duration: 40, msg_len: 10000, iteration: 2, elapsed: 9.095067
duration: 40, msg_len: 10000, iteration: 3, elapsed: 9.076704
duration: 40, msg_len: 10000, iteration: 4, elapsed: 9.143468
duration: 40, msg_len: 10000, iteration: 5, elapsed: 9.135311
duration: 40, msg_len: 100000, iteration: 1, elapsed: 9.161001
duration: 40, msg_len: 100000, iteration: 2, elapsed: 9.196338
duration: 40, msg_len: 100000, iteration: 3, elapsed: 9.143769
duration: 40, msg_len: 100000, iteration: 4, elapsed: 9.184073
duration: 40, msg_len: 100000, iteration: 5, elapsed: 9.192012
duration: 40, msg_len: 1000000, iteration: 1, elapsed: too_large
duration: 40, msg_len: 1000000, iteration: 2, elapsed: too_large
duration: 40, msg_len: 1000000, iteration: 3, elapsed: too_large
duration: 40, msg_len: 1000000, iteration: 4, elapsed: too_large
duration: 40, msg_len: 1000000, iteration: 5, elapsed: too_large
