duration: 01, msg_len: 10000, n_threads: 128, iteration: 4, elapsed: 0.014133
duration: 01, msg_len: 10000, n_threads: 128, iteration: 5, elapsed: 0.014089
duration: 01, msg_len: 10000, n_threads: 256, iteration: 1, elapsed: 0.014457
duration: 01, msg_len: 10000, n_threads: 256, iteration: 2, elapsed: 0.014137
duration: 01, msg_len: 10000, n_threads: 256, iteration: 3, elapsed: 0.014384
duration: 01, msg_len: 10000, n_threads: 256, iteration: 4, elapsed: 0.014013
duration: 01, msg_len: 10000, n_threads: 256, iteration: 5, elapsed: 0.014240
duration: 01, msg_len: 10000, n_threads: 512, iteration: 1, elapsed: 0.014211
duration: 01, msg_len: 10000, n_threads: 512, iteration: 2, elapsed: 0.014051
duration: 01, msg_len: 10000, n_threads: 512, iteration: 3, elapsed: 0.014491
duration: 01, msg_len: 10000, n_threads: 512, iteration: 4, elapsed: 0.014145
duration: 01, msg_len: 10000, n_threads: 512, iteration: 5, elapsed: 0.014215
duration: 01, msg_len: 100000, n_threads: 16, iteration: 1, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 16, iteration: 2, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 16, iteration: 3, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 16, iteration: 4, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 16, iteration: 5, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 32, iteration: 1, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 32, iteration: 2, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 32, iteration: 3, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 32, iteration: 4, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 32, iteration: 5, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 64, iteration: 1, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 64, iteration: 2, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 64, iteration: 3, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 64, iteration: 4, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 64, iteration: 5, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 128, iteration: 1, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 128, iteration: 2, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 128, iteration: 3, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 128, iteration: 4, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 128, iteration: 5, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 256, iteration: 1, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 256, iteration: 2, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 256, iteration: 3, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 256, iteration: 4, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 256, iteration: 5, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 512, iteration: 1, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 512, iteration: 2, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 512, iteration: 3, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 512, iteration: 4, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 512, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 16, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 16, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 16, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 16, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 16, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 32, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 32, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 32, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 32, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 32, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 64, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 64, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 64, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 64, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 64, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 128, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 128, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 128, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 128, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 128, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 256, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 256, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 256, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 256, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 256, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 512, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 512, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 512, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 512, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 512, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100, n_threads: 16, iteration: 1, elapsed: 0.046238
duration: 05, msg_len: 100, n_threads: 16, iteration: 2, elapsed: 0.046246
duration: 05, msg_len: 100, n_threads: 16, iteration: 3, elapsed: 0.046167
duration: 05, msg_len: 100, n_threads: 16, iteration: 4, elapsed: 0.046242
duration: 05, msg_len: 100, n_threads: 16, iteration: 5, elapsed: 0.046283
duration: 05, msg_len: 100, n_threads: 32, iteration: 1, elapsed: 0.041882
duration: 05, msg_len: 100, n_threads: 32, iteration: 2, elapsed: 0.041850
duration: 05, msg_len: 100, n_threads: 32, iteration: 3, elapsed: 0.041910
duration: 05, msg_len: 100, n_threads: 32, iteration: 4, elapsed: 0.041954
duration: 05, msg_len: 100, n_threads: 32, iteration: 5, elapsed: 0.041972
duration: 05, msg_len: 100, n_threads: 64, iteration: 1, elapsed: 0.039384
duration: 05, msg_len: 100, n_threads: 64, iteration: 2, elapsed: 0.039430
duration: 05, msg_len: 100, n_threads: 64, iteration: 3, elapsed: 0.039394
duration: 05, msg_len: 100, n_threads: 64, iteration: 4, elapsed: 0.039447
duration: 05, msg_len: 100, n_threads: 64, iteration: 5, elapsed: 0.039423
duration: 05, msg_len: 100, n_threads: 128, iteration: 1, elapsed: 0.038987
duration: 05, msg_len: 100, n_threads: 128, iteration: 2, elapsed: 0.038879
